,beryl,allen,structure_id
353,SSp-tr,SSp-tr6a,9
354,CENT2,CENT2gr,10708
355,AUDv,AUDv6b,598
356,MPO,MPO,523
357,VISli,VISli6a,312782594
358,LSc,LSc,250
359,NOT,NOT,628
360,BLA,BLAa,303
361,PO,PO,1020
362,LH,LH,186
363,VISrl,VISrl5,312782616
364,ENTl,ENTl2,20
365,PBG,PBG,874
366,DN,DN,846
367,MEA,MEApv,435
368,EPd,EPd,952
369,VISpor,VISpor6b,312782652
370,PB,PBls,883
371,PVH,PVHam,47
372,VISp,VISp1,593
373,RSPagl,VISmmp1,480149290
374,ENTm,ENTm2,543
375,MA3,MA3,549009211
376,SSp-ll,SSp-ll5,1128
377,CENT2,CENT2pu,10709
378,PMv,PMv,1004
379,AUDp,AUDp5,847
380,PH,PH,946
381,SOC,SOCl,114
382,SCs,SCzo,834
383,DMH,DMHa,668
384,RN,RN,214
385,ORBl,ORBl5,630
386,NLOT,NLOT1-3,392
387,SUV,SUV,217
388,VISpor,VISpor6a,312782648
389,ACAd,ACAd6b,927
390,NPC,NPC,634
391,BST,BSTal,537
392,AD,AD,64
393,LGd,LGd-co,496345668
394,SNr,SNr,381
395,ENTl,ENTl4,92
396,CP,CP,672
397,PVH,PVHap,55
398,SSp-ul,SSp-ul6b,1026
399,FRP,FRP5,526157192
400,FL,FLpu,10691
401,AP,AP,207
402,PB,PBlc,860
